Date,Description,Amount,Balance
1/1/25,STARBUCKS KLCC,-25.5,4474.5
2/1/25,GRAB-RIDE JALAN AMPANG,-18,4456.5
2/1/25,AEON SUPERMARKET,-156.8,4299.7
3/1/25,SHELL PETROL STATION,-80,4219.7
3/1/25,MCDONALD'S DRIVE THRU,-32.9,4186.8
4/1/25,UNIFI INTERNET BILL,-139,4047.8
5/1/25,NETFLIX SUBSCRIPTION,-55,3992.8
5/1/25,GRAB-FOOD NASI LEMAK,-15.5,3977.3
6/1/25,SHOPEE PURCHASE,-245,3732.3
7/1/25,99 SPEEDMART,-42.3,3690
7/1/25,PETRONAS FUEL,-75,3615
8/1/25,KFC MID VALLEY,-38.5,3576.5
9/1/25,TNB ELECTRICITY BILL,-185.4,3391.1
10/1/25,GUARDIAN PHARMACY,-67.8,3323.3
10/1/25,GRAB-RIDE TO OFFICE,-22,3301.3
11/1/25,FAMILY MART SNACKS,-18.9,3282.4
11/1/25,TESCO GROCERIES,-198.5,3083.9
12/1/25,COFFEE BEAN KLCC,-28,3055.9
13/01/2025,LAZADA ONLINE SHOPPING,-320,2735.9
14/01/2025,PARKING KLCC,-12,2723.9
15/01/2025,JAMIE OLIVER RESTAURANT,-185,2538.9
15/01/2025,GSC-MID VALLEY CINEMA,-46,2492.9
17/01/2025,GRAB-FOOD DELIVERY,-42.5,2352.4
17/01/2025,7-ELEVEN CONVENIENCE,-23.7,2328.7
18/01/2025,SPOTIFY PREMIUM,-19.9,2308.8
19/01/2025,SHELL PETRONAS FUEL,-82,2226.8
20/01/2025,BEAN SHIPPER GROCERIES,-134.6,2092.2
20/01/2025,FOODPANDA DINNER,-38.9,2053.3
21/01/2025,ZALORA FASHION,-156,1897.3
22/01/2025,WATSON'S PHARMACY,-45.5,1851.8
22/01/2025,MAMAK RESTAURANT,-18.5,1833.3
24/01/2025,TOLL PAYMENT,-8.5,1635.8
25/01/2025,PIZZA HUT DELIVERY,-65,1570.8
25/01/2025,BILABILA SUPERMARKET,-112.4,1458.4
26/01/2025,GRAB-RIDE HOME,-25,1433.4
27/01/2025,ATOME PAYMENT,-78.5,1354.9
27/01/2025,KK SUPER MART,-52.3,1302.6
28/01/2025,GHL*DREAME ONLINE,-299,1003.6
29/01/2025,MPH BOOKSTORE,-145,858.6
29/01/2025,SYABAS WATER BILL,-35.8,822.8
30/01/2025,STEAM GAME PURCHASE,-89.9,732.9
30/01/2025,TERRAE FASHION STORE,-268,464.9
31/01/2025,DIGI MOBILE BILL,-88,376.9
31/01/2025,HOSPITAL CONSULTATION,-150,226.9
31/01/2025,JAYA GROCER,-167.5,59.4
31/01/2025,PARKING PLAZA,-10,49.4
31/01/2025,NASI KANDAR RESTAURANT,-22.5,26.9
31/01/2025,GRAB-FOOD SUPPER,-26.9,0
